nombre,email,tipo,mensaje,estado,fecha
Claudia Ferrer,claudia.ferrer@outlook.com,urgente,Cobro duplicado en mi suscripción,en_gestion,2025-01-31T22:00:00.000Z
Álvaro Nieto,alvaro.nieto@gmail.com,soporte,No encuentro el botón de cancelar suscripción,notificado,2025-01-31T22:00:00.000Z
Irene Pardo,irene.pardo@yahoo.es,devolucion,El artículo no enciende,en_revision,2025-02-01T22:00:00.000Z
Rafael Vidal,rafael.vidal@gmail.com,urgente,No puedo recuperar mi contraseña,en_gestion,2025-02-01T22:00:00.000Z
Lorena Cabrera,lorena.cabrera@hotmail.com,soporte,¿Hacéis envíos a Canarias?,notificado,2025-02-02T22:00:00.000Z
Tomás Serrano,tomas.serrano@gmail.com,devolucion,Llegaron dos unidades y solo pedí una,notificado,2025-02-02T22:00:00.000Z
Marta Vázquez,marta.vazquez@outlook.com,urgente,La pasarela de pago da error constante,notificado,2025-02-03T22:00:00.000Z
Pedro Calvo,pedro.calvo@gmail.com,soporte,Quiero darme de baja del boletín,notificado,2025-02-03T22:00:00.000Z
Sandra Ibáñez,sandra.ibanez@yahoo.es,devolucion,Producto con la caja abierta y precintos rotos,en_revision,2025-02-04T22:00:00.000Z
Guillermo Mora,guillermo.mora@gmail.com,urgente,No me aplica la garantía del producto,notificado,2025-02-04T22:00:00.000Z
Paula Domínguez,paula.dominguez@hotmail.com,soporte,¿Cómo añado un segundo método de pago?,notificado,2025-02-05T22:00:00.000Z
Antonio Cruz,antonio.cruz@gmail.com,devolucion,Quiero devolver un regalo sin ticket de compra,en_revision,2025-02-05T22:00:00.000Z
